Code,MthEnd,MthFwdReturn,MthEndMCap
BAX,30-11-2010,4.9166,28291.4
BHI,30-11-2010,9.6051,22495.2
CPB,30-11-2010,3.3733,11390.2
DD,30-11-2010,6.1502,42896.9
DELL,30-11-2010,2.4962,25709
DOW,30-11-2010,9.9731,36191.1
DVN,30-11-2010,11.4922,30479.2
EMC,30-11-2010,6.5612,44277.9
ETR,30-11-2010,-0.5755,12888.4
FCX,30-11-2010,19.589,47709.5
HNZ,30-11-2010,3.3903,15482.5
HPQ,30-11-2010,0.5983,95086.5
HSH,30-11-2010,16.7333,9589
NOV,30-11-2010,9.919,25719.5
NSC,30-11-2010,4.4042,21864.1
NYX,30-11-2010,10.8502,7130.5
RF,30-11-2010,30.3177,6757.7
WMB,30-11-2010,8.9502,13338.7
WY,30-11-2010,13.4212,8944.9
XRX,30-11-2010,0.8912,15897.3
AAPL,31-12-2010,5.1959,295886.6
ABBV,31-12-2010,NA,NA
ABT,31-12-2010,-4.8683,74060
ACN,31-12-2010,6.1456,34566.3
AGN,31-12-2010,5.5566,6844.3
AIG,31-12-2010,-16.4058,40219.4
ALL,31-12-2010,-2.3212,17157.3
AMGN,31-12-2010,0.3279,51870.4
AMZN,31-12-2010,-5.7556,80790.6
AXP,31-12-2010,1.4757,51665.6
BA,31-12-2010,6.4664,47873.5
BAC,31-12-2010,2.9235,134535.9
BIIB,31-12-2010,-2.3565,15978.2
BK,31-12-2010,3.7049,37461.7
BLK,31-12-2010,3.9039,36422.8
BMY,31-12-2010,-3.7052,45325.4
BRK/B,31-12-2010,2.0472,198312.4
C,31-12-2010,1.9027,137407.3
CAT,31-12-2010,4.0504,59446.3
CELG,31-12-2010,-12.8678,27833.7
CHTR,31-12-2010,7.8582,4376.6
CL,31-12-2010,-3.8384,38793.3
CMCSA,31-12-2010,3.9877,60468.5
COF,31-12-2010,13.1579,19446.8
COP,31-12-2010,4.9339,100054.2
COST,31-12-2010,-0.5124,31521.4
CSCO,31-12-2010,4.5477,112130.1
CVS,31-12-2010,-1.283,47245.5
CVX,31-12-2010,4.0329,183634.1
DHR,31-12-2010,-2.3532,30847
DIS,31-12-2010,3.6257,71028.3
DUK,31-12-2010,0.393,23590.2
DWDP,31-12-2010,3.925,39626.8
EMR,31-12-2010,2.9911,43029.4
EXC,31-12-2010,2.0893,27541.3
F,31-12-2010,-5.003,62912.8
FB,31-12-2010,NA,NA
FDX,31-12-2010,-2.8922,29300.1
FOX,31-12-2010,0.9744,39704
FOXA,31-12-2010,3.1593,39704
GD,31-12-2010,6.8842,26804.7
GE,31-12-2010,10.1148,194874.8
GILD,31-12-2010,5.9051,29422.1
GM,31-12-2010,-1.0038,55290
GOOG,31-12-2010,NA,189936.8
GOOGL,31-12-2010,1.0758,189936.8
GS,31-12-2010,-2.6998,92591
HAL,31-12-2010,10.2131,37136.3
HD,31-12-2010,4.8774,57457.1
HON,31-12-2010,5.3612,41474
IBM,31-12-2010,10.3843,182328.9
INTC,31-12-2010,2.0447,117305.3
JNJ,31-12-2010,-3.363,169855.8
JPM,31-12-2010,6.0605,165827.5
KHC,31-12-2010,NA,NA
KMI,31-12-2010,NA,NA
KO,31-12-2010,-4.4397,152720.2
LLY,31-12-2010,-0.7705,40406.1
LMT,31-12-2010,13.8607,25176.6
LOW,31-12-2010,-0.6813,34610.5
MA,31-12-2010,5.6015,29331.8
MCD,31-12-2010,-4.0255,81097.5
MDLZ,31-12-2010,-2.9832,55040.8
MDT,31-12-2010,3.9533,39815.2
MET,31-12-2010,2.9928,43784.7
MMM,31-12-2010,1.8772,61692.3
MO,31-12-2010,-4.5085,51402.3
MON,31-12-2010,5.7973,37354.4
MRK,31-12-2010,-7.9634,111034.9
MS,31-12-2010,8.2295,41165.4
MSFT,31-12-2010,-0.6628,238784.7
NEE,31-12-2010,2.8275,21753.7
NKE,31-12-2010,-3.4418,40819.9
ORCL,31-12-2010,2.496,158140.7
OXY,31-12-2010,-1.4475,79714.7
PCLN,31-12-2010,7.2507,19616.3
PEP,31-12-2010,-1.5613,103537.7
PFE,31-12-2010,4.0548,140254.2
PG,31-12-2010,-1.1419,180072.1
PM,31-12-2010,-2.204,106196.5
PYPL,31-12-2010,NA,NA
QCOM,31-12-2010,9.3756,80060.6
RTN,31-12-2010,8.7543,16892.9
SBUX,31-12-2010,-1.8674,23811.5
SLB,31-12-2010,6.5749,113925.7
SO,31-12-2010,-1.5956,32062.4
SPG,31-12-2010,1.97,29140.8
T,31-12-2010,-4.9491,173635.8
TGT,31-12-2010,-8.8142,42577
TWX,31-12-2010,-2.2381,35686.1
TXN,31-12-2010,4.7301,38160.1
UNH,31-12-2010,13.6804,39718.8
UNP,31-12-2010,2.1261,45695.2
UPS,31-12-2010,-1.3227,71776.9
USB,31-12-2010,0.1112,51736.7
UTX,31-12-2010,3.2774,72690.6
V,31-12-2010,-0.7531,51417.5
VZ,31-12-2010,0.8924,101142.3
WBA,31-12-2010,3.7988,36222.8
WFC,31-12-2010,4.6144,162658.9
WMT,31-12-2010,3.9681,192098.4
XOM,31-12-2010,10.3392,368711.7
0848680D,31-12-2010,6.8558,12487.2
AA,31-12-2010,7.6673,15720
AEP,31-12-2010,-0.8338,17280.3
AVP,31-12-2010,-2.5809,12472
BAX,31-12-2010,-4.2078,29497.6
BHI,31-12-2010,19.8356,24655.9
